房源标题,房源地址,户型,面积,价格
正商河峪洲,惠济区/邙山/西四环于北四环（大河路）交会处,郑州楼盘|低单价|低总价|车位充足,建面 90-125㎡,总价113-150(万/套)
银基国际旅游度假区,新密市/新密市/郑尧高速密杞大道交汇处向南5公里,郑州楼盘|车位充足|绿化率高|置换改善,建面 82-180㎡,总价60-360(万/套)
青风公园二期,郑州经济技术开发区/滨河国际新城商圈/经开区第十八大街与经南十二路交汇处,郑州楼盘|车位充足|绿化率高|置换改善,建面 123-196㎡,总价200-290(万/套)
台隆合园,"惠济区/南阳路/南阳路弘润路交会处西北角, 南阳路183号1号院",郑州楼盘|车位充足|绿化率高|自持商业,建面 107-142㎡,总价150-214(万/套)
新城郡望府,荥阳市/荥阳城区/郑上路织机路向南100米路西,郑州楼盘|低总价|人车分流|大型社区,建面 89-140㎡,总价52-80(万/套)
融创御湖宸院,中原区/帝湖/西三环与长江路交汇处西北,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-143㎡,总价115-178(万/套)
鸿园,郑东新区/鸿园片区/鸿宝路与鸿苑路交叉口向北800米,郑州楼盘|车位充足|人车分流|品牌房企,,总价700(万/套)
棠颂别院,郑东新区/商业中心/商都路与康平路交汇处,郑州楼盘|优惠楼盘|车位充足|人车分流,建面 249-341㎡,总价2200-2500(万/套)
东原阅城,郑州高新技术产业开发区/省体育中心/河南省郑州市高新区西三环与三全路交叉口,郑州楼盘|人车分流|大型社区|品牌房企,建面 109-129㎡,总价125-155(万/套)
大正·水晶森林二期,郑州高新技术产业开发区/高新万科/冬青西街南，须水河西路西,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-132㎡,总价115-175(万/套)
公园1872,二七区/万客来/西四环萍湖路交汇处向南约1000米,郑州楼盘|低单价|绿化率高|低密居所,建面 127-143㎡,总价130-330(万/套)
正弘新城,新郑市/新郑城区/中兴路与万福路交汇处,郑州楼盘|低单价|低总价|车位充足,建面 94-219㎡,总价72-92(万/套)
融创城,管城回族区/橄榄城/中州大道紫辰路交会处南500米,郑州楼盘|绿化率高|人车分流|品牌房企,建面 95-143㎡,总价158-300(万/套)
泉舜上城,金水区/青少年公园/黄河路与南阳路交汇处向东100米路北,郑州楼盘|人车分流|大型社区|品牌房企,建面 42-130㎡,总价53-287(万/套)
中海天悦府,郑州经济技术开发区/滨河国际新城商圈/华夏大道与经南九路交汇处西北角,郑州楼盘|人车分流|大型社区|国央企,建面 88-142㎡,总价191-220(万/套)
融侨悠乐汇,二七区/万客来/嵩山南路鼎盛大道北融侨悦公馆,郑州楼盘|低单价|人车分流|品牌房企,建面 39-59㎡,总价23-40(万/套)
吉地·澜花语,郑东新区/白沙/郑开大道与中山路（原贺庄路）交叉口向南300米路东,郑州楼盘|车位充足|绿化率高|健身跑道,建面 95-180㎡,总价114-248(万/套)
汇泉景悦城,中原区/中原万达/西三环与颖河路交汇处西南角,郑州楼盘|人车分流|大型社区|品牌房企,建面 75-131㎡,总价86-150(万/套)
兴港云著,航空港区/航空港商圈/郑州航空港区雍州路与护航路交叉口,郑州楼盘|低总价|绿化率高|低密居所,建面 97-127㎡,总价88-107(万/套)
清韵颐景苑,金水区/燕庄/河南省郑州市金水区郑汴路与玉凤路向北300米,郑州楼盘|绿化率高|人车分流|贴心物业,建面 57-226㎡,总价114-640(万/套)
明月江南,荥阳市/荥阳城区/科学大道与荥泽大道交汇处向南1000米路西,郑州楼盘|人车分流|大型社区|科技住宅,建面 95-170㎡,总价80-170(万/套)
富田城·九鼎公馆,管城回族区/橄榄城/管城回族区南三环金岱路（郑尉路）交会处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 88-142㎡,总价105-168(万/套)
金辉滨河云著,郑州经济技术开发区/滨河国际新城商圈/经开第十六大街以东、经南十三路以南、经南十四路以北,郑州楼盘|绿化率高|人车分流|品牌房企,建面 96-169㎡,总价150-490(万/套)
电建泷悦华庭,郑州经济技术开发区/滨河国际新城商圈/经南十五路电建泷悦华庭,郑州楼盘|车位充足|绿化率高|国央企,建面 95-155㎡,总价145-287(万/套)
华润•润园,中原区/五龙口/金水西路沿线（嵩山路-秦岭路之间),郑州楼盘|人车分流|封闭管理|国央企,建面 46-166㎡,总价92-215(万/套)
美盛·中华城,新郑市/航空港商圈/南龙湖·中华路与107连接线交汇处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 80-144㎡,总价65-113(万/套)
汇泉博澳东悦城,郑东新区/白沙/商都大道与前程路交会处,郑州楼盘|低单价|低总价|绿化率高,建面 88-129㎡,总价80-139.2(万/套)
融创空港宸院,航空港区/航空港商圈/长安路与鄱阳湖路交叉口,郑州楼盘|低密居所|人车分流|置换改善,建面 89-138㎡,总价85-145(万/套)
永威溪樾,荥阳市/荥阳城区/郑上路荥泽大道交会处东北角,郑州楼盘|绿化率高|人车分流|品牌房企,建面 85-144㎡,总价69-115(万/套)
谦祥世茂万华城,郑州高新技术产业开发区/高新石佛/西三环与科学大道向西800米,郑州楼盘|人车分流|大型社区|品牌房企,建面 44-67㎡,总价45-67(万/套)
佳源名门橙邦,二七区/二七万达/二七区大学路与长江路交汇处,郑州楼盘|人车分流|大型社区|品牌房企,建面 39-154㎡,总价62-237(万/套)
东方宇亿万林府,金水区/杨金路/东三环与杨金路交叉口往西800米路南,郑州楼盘|绿化率高|人车分流|品牌房企,建面 90-202㎡,总价175-404(万/套)
信达·时代国著,郑东新区/鸿园片区/东三环鸿宝路交汇处东南角,郑州楼盘|绿化率高|人车分流|品牌房企,建面 120-142㎡,总价204-280(万/套)
中建·滨水苑,航空港区/航空港商圈/中牟县凌空街与桥航路交汇处路东100米路北,郑州楼盘|低总价|绿化率高|人车分流,建面 94-152㎡,总价73-117(万/套)
郑州华侨城,二七区/万客来/郑密路南三环向南2000米,郑州楼盘|绿化率高|人车分流|国央企,建面 95-143㎡,总价122-223(万/套)
裕华会园,惠济区/邙山/江山路与滨河路交会处（高速惠济站北约1000米）,郑州楼盘|人车分流|大型社区|品牌房企,建面 89-140㎡,总价120-238(万/套)
瀚宇天悦城,金水区/海洋馆/金水区文化路与三全路交会处,郑州楼盘|车位充足|人车分流|品牌房企,,总价240(万/套)
美林上苑,郑东新区/北龙湖/郑东新区龙湖中环南路与龙翔三街交会处西北角,郑州楼盘|车位充足|绿化率高|置换改善,建面 145-251㎡,总价750-1050(万/套)
绿都东澜岸,郑州经济技术开发区/经开物流园区/郑州市经开区南三环龙飞北街交会处东北,郑州楼盘|低单价|低总价|人车分流,建面 89-140㎡,总价102-161(万/套)
正商兰庭华府,新郑市/南龙湖商圈/郑新快速通道与祥和路交会处向北500米路东,郑州楼盘|绿化率高|人车分流|品牌房企,建面 98-190㎡,总价75-159(万/套)
正商公主湖,新郑市/新郑城区/新村大道与华瑞路交叉口路北,郑州楼盘|低单价|绿化率高|低密居所,建面 105-133㎡,总价60-145(万/套)
富田城·九鼎华府,管城回族区/橄榄城/豫一路与祥和路交叉路口往东约50米,郑州楼盘|低总价|绿化率高|人车分流,建面 89-143㎡,总价95-210(万/套)
融信朗悦时光之城,郑州高新技术产业开发区/高新双湖科技城/郑州市高新区科学大道与金柏路交会处西南角,郑州楼盘|低总价|绿化率高|人车分流,建面 80-143㎡,总价85-185(万/套)
和昌优地,金水区/普罗旺世/三quan路索凌路南300米路东,郑州楼盘|绿化率高|人车分流|近地铁,建面 113-143㎡,总价200-245(万/套)
泰宏建业国际城,二七区/万客来/大学路南三环南1000米,郑州楼盘|大型社区|品牌房企|公交直达,,总价40(万/套)
汉德·如意府,郑东新区/象湖/郑开大道康庄路交叉口向南200路东,郑州楼盘|绿化率高|人车分流|科技住宅,建面 92-135㎡,总价126-182(万/套)
鸿园,郑东新区/鸿园片区/鸿宝路与鸿苑路交叉口向北800米,郑州楼盘|车位充足|绿化率高|置换改善,建面 134-216㎡,总价420-800(万/套)
汇泉西悦城,中原区/常西湖/陇海路与西四环交汇口西南侧,郑州楼盘|人车分流|大型社区|品牌房企,,总价80(万/套)
朗悦公园府,郑州高新技术产业开发区/高新梧桐/梧桐街与雪松路交会处西北角,郑州楼盘|绿化率高|人车分流|品牌房企,建面 67-165㎡,总价106-238(万/套)
中建林溪上郡,航空港区/航空港商圈/长安路与飞航路交汇处向西100米,郑州楼盘|车位充足|人车分流|国央企,建面 169-282㎡,总价789(万/套)
华南城紫荆名都,新郑市/南龙湖商圈/南龙湖华南城二路与中华路交汇处东北角,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-120㎡,总价60-103(万/套)
兴港永威和园,航空港区/航空港商圈/郑州航空港区鄱阳湖路与凌风街交叉口南300米,郑州楼盘|绿化率高|低密居所|国央企,建面 81-141㎡,总价76-139(万/套)
天伦城三期,郑东新区/鸿园片区/创科路任庄社区东南侧约140米,郑州楼盘|车位充足|低密居所|置换改善,建面 100-144㎡,总价130-245(万/套)
鸿祥·钰珑府,荥阳市/荥阳城区/荥阳市中原路与飞龙路交叉口向北200米路西,郑州楼盘|低总价|人车分流|大型社区,建面 66-176㎡,总价42-124.9(万/套)
银基国际旅游度假区,新密市/新密市/郑尧高速密杞大道交汇处向南5公里,郑州楼盘|车位充足|绿化率高|置换改善,建面 156-189㎡,总价140-360(万/套)
万科·山河道,中原区/中原万达/中原区华山路与颍河路向西500米,郑州楼盘|人车分流|大型社区|国央企,建面 125-183㎡,总价285-384(万/套)
绿都·云立方,二七区/万客来/大学南路与鼎盛大道交会处东北角绿都·云立方,郑州楼盘|低单价|低总价|人车分流,建面 31-35㎡,总价19-22(万/套)
恒基水榭华城,新郑市/南龙湖商圈/东三环与双湖大道交汇处向东200米，双湖大道东段77号,郑州楼盘|绿化率高|低密居所|养老舒适,建面 83-118㎡,总价51-100(万/套)
未来天奕,金水区/枣庄/东风路与东明路交会处西南,郑州楼盘|车位充足|绿化率高|国央企,建面 176-526㎡,总价750-2200(万/套)
兴港和昌凌云筑,郑州经济技术开发区/经开物流园区/河南省郑州市经开区龙善街美辰路交汇处西北角,郑州楼盘|低单价|低总价|绿化率高,建面 95-115㎡,总价95-115(万/套)
万科·荣成 云图,中牟县/中牟城区/广惠街与比克大道交汇处向东约200米路南,郑州楼盘|绿化率高|低密居所|高品质小区,建面 97-200㎡,总价75-101(万/套)
绿都·九州雅叙,中牟县/绿博/广惠街与九州路交会处 向西200米路北,郑州楼盘|低总价|绿化率高|人车分流,建面 98-118㎡,总价80-85(万/套)
绿都·九州雅叙,中牟县/绿博/郑州国际文化创意产业园九州路以北紫薇路以西,郑州楼盘|低总价|人车分流|品牌房企,建面 129-174㎡,总价135-280(万/套)
路劲·悦东园,郑州经济技术开发区/经开物流园区/经开区南三环宇龙路向南800米,郑州楼盘|低单价|低总价|绿化率高,建面 80-106㎡,总价68-90(万/套)
金地·格林格林,荥阳市/荥阳城区/荥阳市飞龙路与合欢路交叉口,郑州楼盘|低总价|绿化率高|人车分流,建面 72-117㎡,总价52-78(万/套)
星联枫桥湾,郑东新区/白沙/中山路与象辰路交叉口向东500米,郑州楼盘|车位充足|绿化率高|置换改善,建面 141-197㎡,总价320-510(万/套)
银榕居,郑东新区/白沙/郑东新区绿博大道与恒通路交汇处北100米,郑州楼盘|人车分流|封闭管理|科技住宅,建面 100-143㎡,总价186-300(万/套)
龙居华府,金水区/杨金路/鸿宝路龙居华府,郑州楼盘|人车分流|大型社区|品牌房企,建面 89-143㎡,总价178-296(万/套)
绿城·诚园,郑州经济技术开发区/恒大绿洲/经开第八大街与经北六路交会处南100米路西,郑州楼盘|绿化率高|人车分流|近地铁,建面 95-145㎡,总价186-282(万/套)
绿城·湖畔雲庐,郑东新区/北龙湖/河南省郑州市金水区南禄庄街,郑州楼盘|车位充足|绿化率高|国央企,建面 152-247㎡,总价596-1200(万/套)
正泰君和府,荥阳市/荥阳城区/中原路与织机路交叉口东北侧,郑州楼盘|绿化率高|小型社区|公交直达,建面 92-146㎡,总价70-125(万/套)
星城国际·西苑,中牟县/中牟城区/郑州市商都大道与万三路交汇处东南角,郑州楼盘|低单价|低总价|绿化率高,建面 82-122㎡,总价45-68(万/套)
中原华侨城,中原区/常西湖/中原西路两侧，南水北调运河、郑西高铁与须水河景观带及遗址公园合围区域,郑州楼盘|低单价|低总价|绿化率高,建面 87-134㎡,总价110-187(万/套)
珺尚·馨泽园,新郑市/航空港商圈/新郑市世纪大道与莲花路交汇处西300米路南,郑州楼盘|低单价|低总价|绿化率高,建面 89-121㎡,总价49-68(万/套)
裕华城,中原区/中原万达/学府路南、爱民路西,郑州楼盘|绿化率高|人车分流|国央企,建面 78-143㎡,总价95-300(万/套)
